bankname,address,city,state,zipcode,fdiccertificatenumber,closingdate,acquiringinstitution,latitude,longitude,month,year,yearmonth,total_assets_mill,total_deposits_mill
Frontier Bank,332 SOUTHWEST EVERETT MALL WAY,EVERETT,WA,98204,22710,30-Apr-10,"Union Bank, N.A.",47.904648,-122.238197,4,2010,201004,3500,3130
CF Bancorp,525 WATER STREET,PORT HURON,MI,480600000,30005,30-Apr-10,First Michigan Bank,42.9753171,-82.4254974,4,2010,201004,1650,1430
Champion Bank,11401 OLIVE BOULEVARD,SAINT LOUIS,MO,63141,58362,30-Apr-10,BankLiberty,38.6716766,-90.4329376,4,2010,201004,187.3,153.8
BC National Banks,1109 WEST FORT SCOTT,BUTLER,MO,64730,17792,30-Apr-10,Community First Bank,38.2570553,-94.3549599,4,2010,201004,67.2,54.9
1st Pacific Bank of California,"9333 GENESEE AVENUE, SUITE 100",SAN DIEGO,CA,92121,35517,7-May-10,City National Bank,32.8756569,-117.2138985,5,2010,201005,335.8,291.2
The Bank of Bonifay,300 NORTH WAUKESHA STREET,BONIFAY,FL,32425,14246,7-May-10,First Federal Bank of Florida,30.7951766,-85.6795064,5,2010,201005,242.9,230.2
Towne Bank of Arizona,3156 EAST BASELINE ROAD,MESA,AZ,85204,57697,7-May-10,Commerce Bank of Arizona,33.379593,-111.763123,5,2010,201005,120.2,113.2
Access Bank,11150 COMMERCE DRIVE NORTH,CHAMPLIN,MN,55316,16476,7-May-10,PrinsBank,45.157211,-93.394203,5,2010,201005,32,32
Midwest Bank and Trust Company,1606 NORTH HARLEM AVENUE,ELMWOOD PARK,IL,60707,18117,14-May-10,"FirstMerit Bank, N.A.",41.909523,-87.806625,5,2010,201005,3170,2420
Satilla Community Bank,6308 HIGHWAY 40 EAST,SAINT MARYS,GA,31558,35114,14-May-10,Ameris Bank,30.8163815,-81.5077515,5,2010,201005,135.7,134
New Liberty Bank,1333 ANN ARBOR ROAD WEST,PLYMOUTH,MI,481701238,35586,14-May-10,Bank of Ann Arbor,42.3585458,-83.4760194,5,2010,201005,109.1,101.8
Southwest Community Bank,3333 EAST BATTLEFIELD ROAD,SPRINGFIELD,MO,65804,34255,14-May-10,Simmons First National Bank,37.1581703,-93.2274934,5,2010,201005,96.6,102.5
Pinehurst Bank,757 CLEVELAND AVENUE SOUTH,SAINT PAUL,MN,55116,57735,21-May-10,Coulee Bank,44.918633,-93.188179,5,2010,201005,61.2,58.3
Bank of Florida - Southwest,1185 IMMOKALEE ROAD,NAPLES,FL,34110,35106,28-May-10,EverBank,26.2723848,-81.7962793,5,2010,201005,640.9,559.9
Bank of Florida - Southeast,200 SW 1ST AVENUE SUITE 100,FORT LAUDERDALE,FL,33301,57360,28-May-10,EverBank,26.120008,-80.144188,5,2010,201005,595.3,531.7
Sun West Bank,5830 WEST FLAMINGO ROAD,LAS VEGAS,NV,89103,34785,28-May-10,City National Bank,36.115208,-115.221214,5,2010,201005,360.7,353.9
Bank of Florida - Tampa,777 SOUTH HARBOUR ISLAND BOULEVARD SUITE 940,TAMPA,FL,33602,57814,28-May-10,EverBank,27.937611,-82.453964,5,2010,201005,245.2,224
"Granite Community Bank, NA",4100 DOUGLAS BOULEVARD,GRANITE BAY,CA,95746,57315,28-May-10,Tri Counties Bank,38.743454,-121.224625,5,2010,201005,102.9,94.2
TierOne Bank,13th And N Street,Lincoln,NE,68508,29341,4-Jun-10,Great Western Bank,40.8124501,-96.7025902,6,2010,201006,2800,2100
First National Bank,600 MAIN STREET,ROSEDALE,MS,38769,15814,4-Jun-10,The Jefferson Bank,33.8572006,-91.0277481,6,2010,201006,60.4,63.5
Arcola Homestead Savings Bank,130 EAST MAIN STREET,ARCOLA,IL,61910,31813,4-Jun-10,No Acquirer,39.6843801,-88.3076414,6,2010,201006,17,18.1
Washington First International Bank,"9709 THIRD AVENUE NORTHEAST, SUITE 110",SEATTLE,WA,98115,32955,11-Jun-10,East West Bank,47.699059,-122.326897,6,2010,201006,520.9,441.4
Nevada Security Bank,9990 DOUBLE R BOULEVARD,RENO,NV,89521,57110,18-Jun-10,Umpqua Bank,39.439457,-119.757973,6,2010,201006,480.3,479.8
Peninsula Bank,3100 SOUTH MCCALL ROAD,ENGLEWOOD,FL,34224,26563,25-Jun-10,"Premier American Bank, N.A.",26.935076,-82.305168,6,2010,201006,644.3,580.1
First National Bank,200 STEPHENSON AVENUE SUITE 100,SAVANNAH,GA,31405,34152,25-Jun-10,"The Savannah Bank, N.A.",32.0132489,-81.1109796,6,2010,201006,252.5,231.9
High Desert State Bank,"8110 VENTURA STREET, N.E.",ALBUQUERQUE,NM,87122,35279,25-Jun-10,First American Bank,35.1747881,-106.5421352,6,2010,201006,80.3,81
Home National Bank,1350 W. DOOLIN,BLACKWELL,OK,74631,11636,9-Jul-10,RCB Bank,36.8124046,-97.3004532,7,2010,201007,644.5,560.7
Bay National Bank,2328 WEST JOPPA ROAD,LUTHERVILLE,MD,21093,35462,9-Jul-10,"Bay Bank, FSB",39.418686,-76.667297,7,2010,201007,282.2,276.1
USA Bank,601 NORTH MAIN STREET,PORTCHESTER,NY,10573,58072,9-Jul-10,New Century Bank,41.0108464,-73.6559889,7,2010,201007,193.3,189.9
Ideal Federal Savings Bank,1629 Druid Hill Avenue,Baltimore,MD,21217,32456,9-Jul-10,No Acquirer,39.305161,-76.63208,7,2010,201007,6.3,5.8
First National Bank of the South,215 NORTH PINE ST,SPARTANBURG,SC,29302,35383,16-Jul-10,NAFH National Bank,34.955631,-81.922112,7,2010,201007,682,610.1
Metro Bank of Dade County,9350 SOUTH DIXIE HWY,MIAMI,FL,33156,25172,16-Jul-10,NAFH National Bank,25.683466,-80.3146973,7,2010,201007,442.3,391.3
Woodlands Bank,27 Towne Drive,Bluffton,SC,29910,32571,16-Jul-10,Bank of the Ozarks,32.270802,-80.860909,7,2010,201007,376.2,355.3
Turnberry Bank,20295 Ne 29th Place,Aventura,FL,33180,32280,16-Jul-10,NAFH National Bank,25.963129,-80.141617,7,2010,201007,263.9,196.9
Olde Cypress Community Bank,205 South W C Owen,Clewiston,FL,33440,28864,16-Jul-10,"CenterState Bank of Florida, N.A.",26.7528523,-80.9361847,7,2010,201007,168.7,162.4
"Mainstreet Savings Bank, FSB",629 West State Street,Hastings,MI,49058,28136,16-Jul-10,Commercial Bank,42.649113,-85.296455,7,2010,201007,97.4,63.7
Crescent Bank and Trust Company,251 HIGHWAY 515,JASPER,GA,30143,27559,23-Jul-10,Renasant Bank,34.4642293,-84.4577119,7,2010,201007,1010,965.7
Sterling Bank,1189 HYPOLUXO ROAD,LANTANA,FL,33462,32536,23-Jul-10,IBERIABANK,26.572626,-80.061798,7,2010,201007,407.9,372.4
Home Valley Bank,110 SOUTHWEST 4TH STREET,GRANTS PASS,OR,97526,23181,23-Jul-10,South Valley Bank & Trust,42.4396062,-123.329785,7,2010,201007,251.8,229.6
SouthwestUSA Bank,4043 SOUTH EASTERN AVENUE,LAS VEGAS,NV,89119,35434,23-Jul-10,Plaza Bank,36.116207,-115.119781,7,2010,201007,214,186.7
Williamsburg First National Bank,200 WEST MAIN STREET,KINGSTREE,SC,29556,17837,23-Jul-10,"First Citizens Bank and Trust Company, Inc.",33.6630569,-79.8335427,7,2010,201007,139.3,134.3
Community Security Bank,1100 FIRST STREET NORTHEAST,NEW PRAGUE,MN,56071,34486,23-Jul-10,Roundbank,44.544151,-93.560997,7,2010,201007,108,99.7
Thunder Bank,102 NORTH MAIN,SYLVAN GROVE,KS,67481,10506,23-Jul-10,The Bennington State Bank,39.0110967,-98.393198,7,2010,201007,32.6,28.5
LibertyBank,"355 GOODPASTURE ISLAND ROAD, SUITE 200",EUGENE,OR,97401,31964,30-Jul-10,Home Federal Bank,44.072979,-123.110641,7,2010,201007,768.2,718.5
The Cowlitz Bank,927 COMMERCE AVENUE,LONGVIEW,WA,98632,22643,30-Jul-10,Heritage Bank,46.13089,-122.937263,7,2010,201007,529.3,513.9
Coastal Community Bank,12141 PANAMA CITY BEACH,PANAMA CITY BEACH,FL,32401,9619,30-Jul-10,Centennial Bank,30.2046776,-85.8279953,7,2010,201007,372.9,363.2
Northwest Bank & Trust,3891 COBB PARKWAY,ACWORTH,GA,30101,57658,30-Jul-10,State Bank and Trust Company,34.0499992,-84.7015076,7,2010,201007,167.7,159.4
Bayside Savings Bank,202 Marina Drive,Port Saint Joe,FL,32457,57669,30-Jul-10,Centennial Bank,29.815283,-85.306236,7,2010,201007,66.1,52.4
Ravenswood Bank,2300 WEST LAWRENCE AVENUE,CHICAGO,IL,60093,34231,6-Aug-10,Northbrook Bank & Trust Company,41.9689331,-87.6866531,8,2010,201008,264.6,269.5
Palos Bank and Trust Company,12600 SOUTH HARLEM AVENUE,PALOS HEIGHTS,IL,60463,17599,13-Aug-10,First Midwest Bank,41.6625595,-87.7964406,8,2010,201008,493.4,467.8
ShoreBank,7054 SOUTH JEFFREY AVENUE,CHICAGO,IL,60649,15640,20-Aug-10,Urban Partnership Bank,41.7665558,-87.5770187,8,2010,201008,2160,1540
Los Padres Bank,610 Alamo Pintado Road,Solvang,CA,93463,32165,20-Aug-10,Pacific Western Bank,34.5997406,-120.1285411,8,2010,201008,870.4,770.7
Butte Community Bank,2041 FOREST AVENUE,CHICO,CA,95928,33219,20-Aug-10,"Rabobank, N.A.",39.723175,-121.800972,8,2010,201008,498.8,471.3
Sonoma Valley Bank,202 WEST NAPA STREET,SONOMA,CA,95476,27259,20-Aug-10,Westamerica Bank,38.292633,-122.461449,8,2010,201008,337.1,255.5
Pacific State Bank,1899 WEST MARCH LANE,STOCKTON,CA,95207,27090,20-Aug-10,"Rabobank, N.A.",37.987919,-121.329247,8,2010,201008,312.1,278.8
Independent National Bank,60 S. W. 17TH STREET,OCALA,FL,32671,27344,20-Aug-10,"CenterState Bank of Florida, N.A.",29.1705532,-82.137291,8,2010,201008,156.2,141.9
Community National Bank at Bartow,1375 NORTH BROADWAY,BARTOW,FL,33830,25266,20-Aug-10,"CenterState Bank of Florida, N.A.",27.9068928,-81.8444061,8,2010,201008,67.9,63.7
Imperial Savings and Loan Association,1 E Market Street,Martinsville,VA,24112,31623,20-Aug-10,"River Community Bank, N.A.",36.6887885,-79.8742352,8,2010,201008,9.4,10.1
Horizon Bank,900 53RD AVENUE EAST,BRADENTON,FL,34203,35061,10-Sep-10,Bank of the Ozarks,27.4470978,-82.5544891,9,2010,201009,187.8,164.6
The Peoples Bank,71 N BROAD STREET,WINDER,GA,30680,182,17-Sep-10,Community & Southern Bank,33.992767,-83.719757,9,2010,201009,447.2,398.2
Maritime Savings Bank,10427 WEST LINCOLN AVENUE,WEST ALLIS,WI,532271261,28612,17-Sep-10,"North Shore Bank, FSB",43.0024919,-88.0422107,9,2010,201009,350.5,248.1
First Commerce Community Bank,9001 HOSPITAL DRIVE,DOUGLASVILLE,GA,30134,57448,17-Sep-10,Community & Southern Bank,33.738502,-84.7332546,9,2010,201009,248.2,242.8
Bank of Ellijay,134 INDUSTRIAL BOULEVARD,ELLIJAY,GA,30540,58197,17-Sep-10,Community & Southern Bank,34.6834993,-84.4907688,9,2010,201009,168.8,160.7
ISN Bank,457 HADDONFIELD ROAD SUITE 100,CHERRY HILL,NJ,8002,57107,17-Sep-10,Customers Bank,39.936436,-75.031204,9,2010,201009,81.6,79.7
Bramble Savings Bank,954 STATE ROUTE 28,MILFORD,OH,45150,27808,17-Sep-10,Foundation Bank,39.1922569,-84.2502213,9,2010,201009,47.5,41.6
North County Bank,16419 SMOKEY POINT BOULEVARD,ARLINGTON,WA,98223,35053,24-Sep-10,Whidbey Island Bank,48.145905,-122.182426,9,2010,201009,288.8,276.1
Haven Trust Bank Florida,212 PONTE VEDRA PARK DRIVE,PONTE VEDRA BEACH,FL,32082,58308,24-Sep-10,First Southern Bank,30.2470002,-81.3886788,9,2010,201009,148.6,133.6
Wakulla Bank,2932 CRAWFORDVILLE HIGHWAY,CRAWFORDVILLE,FL,32327,21777,1-Oct-10,Centennial Bank,30.180813,-84.375557,10,2010,201010,424.1,386.3
Shoreline Bank,16001 AURORA AVENUE NORTH,SHORELINE,WA,98133,35250,1-Oct-10,GBC International Bank,47.745274,-122.345955,10,2010,201010,104.2,100.2
Premier Bank,815 WEST STADIUM BOULEVARD,JEFFERSON CITY,MO,65109,34016,15-Oct-10,Providence Bank,38.576225,-92.214935,10,2010,201010,1180,1030
"Security Savings Bank, F.S.B.",11599 Ridgeview,Olathe,KS,66061,30898,15-Oct-10,Simmons First National Bank,38.9183502,-94.7963409,10,2010,201010,508.4,397
WestBridge Bank and Trust Company,17280 NORTH OUTER 40 ROAD,CHESTERFIELD,MO,63005,58205,15-Oct-10,Midland States Bank,38.671406,-90.597008,10,2010,201010,91.5,72.5
Hillcrest Bank,11111 WEST 95TH STREET,OVERLAND PARK,KS,66214,22173,22-Oct-10,"Hillcrest Bank, N.A.",38.95583,-94.715675,10,2010,201010,1650,1540
"First Arizona Savings, A FSB","17015 North Scottsdale Road, Suite 150",Scottsdale,AZ,85255,32582,22-Oct-10,No Acquirer,33.639832,-111.923904,10,2010,201010,272.2,198.8
First Suburban National Bank,150 SOUTH 5TH AVENUE,MAYWOOD,IL,60153,16089,22-Oct-10,Seaway Bank and Trust Company,41.886482,-87.839516,10,2010,201010,148.7,140
The First National Bank of Barnesville,315 THOMASTON ST,BARNESVILLE,GA,30204,2119,22-Oct-10,United Bank,33.0532171,-84.1559614,10,2010,201010,131.4,127.1
Progress Bank of Florida,5537 SHELDON ROAD SUITE D,TAMPA,FL,33615,32251,22-Oct-10,Bay Cities Bank,27.998852,-82.582542,10,2010,201010,110.7,101.3
First Bank of Jacksonville,11100 SAN JOSE BLVD,JACKSONVILLE,FL,32223,27573,22-Oct-10,Ameris Bank,30.174837,-81.628685,10,2010,201010,81,77.3
The Gordon Bank,280 MILLEDGEVILLE HIGHWAY,GORDON,GA,31031,33904,22-Oct-10,Morris Bank,32.8823496,-83.3339401,10,2010,201010,29.4,26.7
K Bank,11407 CRONHILL DRIVE,OWINGS MILLS,MD,21117,31263,5-Nov-10,Manufacturers and Traders Trust Company (M&T Bank),39.439595,-76.7747898,11,2010,201011,538.3,500.1
Pierce Commercial Bank,1722 SOUTH UNION AVENUE,TACOMA,WA,98405,34411,5-Nov-10,Heritage Bank,47.244404,-122.483353,11,2010,201011,221.1,193.5
Western Commercial Bank,"21550 OXNARD STREET, SUITE 100",WOODLAND HILLS,CA,91367,58087,5-Nov-10,First California Bank,34.178726,-118.599678,11,2010,201011,98.6,101.1
First Vietnamese American Bank,8990 WESTMINSTER BOULEVARD,WESTMINSTER,CA,92683,57885,5-Nov-10,Grandpoint Bank,33.759087,-117.972771,11,2010,201011,48,47
Darby Bank & Trust Co.,300 EAST FIRST STREET,VIDALIA,GA,30474,14580,12-Nov-10,Ameris Bank,32.2163276,-82.4101418,11,2010,201011,654.7,587.6
Copper Star Bank,7555 EAST REDFIELD ROAD,SCOTTSDALE,AZ,85260,35463,12-Nov-10,"Stearns Bank, N.A.",33.612247,-111.920647,11,2010,201011,204,190.2
Tifton Banking Company,729 WEST SECOND STREET,TIFTON,GA,31794,57831,12-Nov-10,Ameris Bank,31.4578512,-83.523398,11,2010,201011,143.7,141.6
First Banking Center,400 MILWAUKEE AVENUE,BURLINGTON,WI,531051234,5287,19-Nov-10,First Michigan Bank,42.6787148,-88.2787018,11,2010,201011,750.7,664.8
Gulf State Community Bank,206 SAINT JAMES AVENUE,CARRABELLE,FL,32322,20340,19-Nov-10,Centennial Bank,29.8515701,-84.6656723,11,2010,201011,112.1,112.2
Allegiance Bank of North America,ONE BELMONT AVENUE,BALA CYNWYD,PA,19004,35078,19-Nov-10,VIST Bank,40.0051651,-75.2205124,11,2010,201011,106.6,92
Paramount Bank,"31000 NORTHWESTERN HIGHWAY, SUITE 200",FARMINGTON HILLS,MI,48334,34673,10-Dec-10,Level One Bank,42.515148,-83.332138,12,2010,201012,252.7,213.6
Earthstar Bank,376 SECOND STREET PIKE,SOUTHAMPTON,PA,18966,35561,10-Dec-10,Polonia Bank,40.1671743,-75.0459646,12,2010,201012,112.6,104.5
"The Bank of Miami,N.A.",121 ALHAMBRA PLAZA,CORAL GABLES,FL,33134,19040,17-Dec-10,1st United Bank,25.752619,-80.257202,12,2010,201012,448.2,374.2
Chestatee State Bank,6639 HIGHWAY 53 EAST,DAWSONVILLE,GA,30534,34578,17-Dec-10,Bank of the Ozarks,34.3615671,-84.0344305,12,2010,201012,244.4,240.5
"United Americas Bank, N.A.",3789 ROSWELL ROAD,ATLANTA,GA,30342,35065,17-Dec-10,State Bank and Trust Company,33.858223,-84.380661,12,2010,201012,242.3,193.8
First Southern Bank,1583 ST. LOUIS STREET,BATESVILLE,AR,72501,58052,17-Dec-10,Southern Bank,35.7636121,-91.6412095,12,2010,201012,191.8,155.8
"Appalachian Community Bank, FSB",109 Blue Ridge Drive,McCaysville,GA,30555,58495,17-Dec-10,Peoples Bank of East Tennessee,34.9868879,-84.3711819,12,2010,201012,68.2,76.4
Community National Bank,7641 LAKE DRIVE,LINO LAKES,MN,55014,23306,17-Dec-10,Farmers & Merchants Savings Bank,45.183769,-93.111336,12,2010,201012,31.6,28.8
First Commercial Bank of Florida,945 SOUTH ORANGE AVENUE,ORLANDO,FL,32806,34965,7-Jan-11,First Southern Bank,28.529593,-81.376076,1,2011,201101,598.5,529.6
Legacy Bank,15100 NORTH 78TH WAY,SCOTTSDALE,AZ,85260,57820,7-Jan-11,Enterprise Bank & Trust,33.623543,-111.906822,1,2011,201101,150.6,125.9
Oglethorpe Bank,3344 CYPRESS MILL ROAD,BRUNSWICK,GA,31520,57440,14-Jan-11,Bank of the Ozarks,31.193277,-81.478859,1,2011,201101,230.6,212.7
United Western Bank,"700 17th Street, Suite 100",Denver,CO,80202,31293,21-Jan-11,First-Citizens Bank & Trust Company,39.746124,-104.991455,1,2011,201101,2050,1650
CommunitySouth Bank & Trust,6602 CALHOUN MEMORIAL HIGHWAY,EASLEY,SC,29640,57868,21-Jan-11,"CertusBank, National Association",34.8215251,-82.5879655,1,2011,201101,440.6,402.4
The Bank of Asheville,79 WOODFIN PLACE,ASHEVILLE,NC,28801,34516,21-Jan-11,First Bank,35.599373,-82.544861,1,2011,201101,195.1,188.3
Enterprise Banking Company,2097 HIGHWAY 20 WEST,MCDONOUGH,GA,30253,19758,21-Jan-11,No Acquirer,33.412121,-84.198616,1,2011,201101,100.9,95.5
First Community Bank,120 WEST PLAZA,TAOS,NM,87571,12261,28-Jan-11,"U.S. Bank, N.A.",36.4076252,-105.5748716,1,2011,201101,2310,1940
FirsTier Bank,980 DILLON ROAD,LOUISVILLE,CO,80027,57646,28-Jan-11,No Acquirer,39.9593997,-105.1640148,1,2011,201101,781.5,722.8
Evergreen State Bank,207 SOUTH FORREST STREET,STOUGHTON,WI,535890427,5328,28-Jan-11,McFarland State Bank,42.9174004,-89.21875,1,2011,201101,246.5,195.2
The First State Bank,MAIN AND BROADWAY STREET,CAMARGO,OK,73835,2303,28-Jan-11,Bank 7,36.0173799,-99.2893602,1,2011,201101,43.5,40.3
American Trust Bank,880 HOLCOMB BRIDGE ROAD BUILDING C,ROSWELL,GA,30076,57432,4-Feb-11,Renasant Bank,34.029938,-84.335419,2,2011,201102,238.2,222.2
North Georgia Bank,7911 MACON HIGHWAY,WATKINSVILLE,GA,30677,35242,4-Feb-11,BankSouth,33.8871117,-83.4146347,2,2011,201102,153.2,139.7
Community First Bank Chicago,7555 NORTH WESTERN AVENUE,CHICAGO,IL,60645,57948,4-Feb-11,Northbrook Bank & Trust Company,42.018917,-87.689781,2,2011,201102,51.1,49.5
Peoples State Bank,9252 JOSEPH CAMPAU AVENUE,HAMTRAMCK,MI,48212,14939,11-Feb-11,First Michigan Bank,42.3933937,-83.0555,2,2011,201102,390.5,389.9
Canyon National Bank,1711 EAST PALM CANYON DRIVE,PALM SPRINGS,CA,92264,34692,11-Feb-11,Pacific Premier Bank,33.800919,-116.527718,2,2011,201102,210.9,205.3
Sunshine State Community Bank,4777 CLYDE MORRIS BOULEVARD,PORT ORANGE,FL,32129,35478,11-Feb-11,"Premier American Bank, N.A.",29.1210308,-81.0234985,2,2011,201102,125.5,116.7
Badger State Bank,201 EAST AMEILA STREET,CASSVILLE,WI,53806,13272,11-Feb-11,Royal Bank,42.713797,-90.9895226,2,2011,201102,83.8,78.5
Habersham Bank,1151 WASHINGTON STREET,CLARKESVILLE,GA,30523,151,18-Feb-11,SCBT National Association,34.6125298,-83.5237961,2,2011,201102,387.6,339.9
"San Luis Trust Bank, FSB",1001 Marsh Street,San Luis Obispo,CA,93401,34783,18-Feb-11,First California Bank,35.280289,-120.65963,2,2011,201102,332.6,272.2
Citizens Bank of Effingham,802 SOUTH LAUREL STREET,SPRINGFIELD,GA,31329,34601,18-Feb-11,Heritage Bank of the South,32.362415,-81.30703,2,2011,201102,214.3,206.5
Charter Oak Bank,600 TRANCAS STREET,NAPA,CA,94558,57855,18-Feb-11,Bank of Marin,38.32515,-122.28476,2,2011,201102,120.8,105.3
Valley Community Bank,620 EAST MAIN STREET,SAINT CHARLES,IL,60174,34187,25-Feb-11,First State Bank,41.9146905,-88.3075342,2,2011,201102,123.8,124.2
Legacy Bank,2102 WEST FOND DU LAC AVENUE,MILWAUKEE,WI,53206,34818,11-Mar-11,Seaway Bank and Trust Company,43.061073,-87.939148,3,2011,201103,190.4,183.3
First National Bank of Davis,227 EAST MAIN STREET,DAVIS,OK,73030,4077,11-Mar-11,The Pauls Valley National Bank,34.5043297,-97.1203966,3,2011,201103,90.2,68.3
The Bank of Commerce,171 EAST IRVING PARK ROAD,WOOD DALE,IL,60191,34292,25-Mar-11,Advantage National Bank Group,41.963291,-87.975388,3,2011,201103,163.1,161.4
Western Springs National Bank and Trust,4456 WOLF ROAD,WESTERN SPRINGS,IL,60558,10086,8-Apr-11,Heartland Bank and Trust Company,41.808353,-87.89904,4,2011,201104,186.8,181.9
Nevada Commerce Bank,"6795 EDMOND STREET, SUITE 160",LAS VEGAS,NV,89118,35418,8-Apr-11,City National Bank,36.0660654,-115.2120526,4,2011,201104,144.9,136.4
Superior Bank,17 20th Street North,Birmingham,AL,35203,17750,15-Apr-11,"Superior Bank, National Association",33.5134218,-86.8049084,4,2011,201104,3000,2700
Nexity Bank,3680 GRANDVIEW PARKWAY SUITE 200,BIRMINGHAM,AL,35243,19794,15-Apr-11,AloStar Bank of Commerce,33.4337186,-86.7197261,4,2011,201104,793.7,637.8
Bartow County Bank,301 E CHURCH ST,CARTERSVILLE,GA,30120,21495,15-Apr-11,Hamilton State Bank,34.1681108,-84.7914954,4,2011,201104,330.2,304.1
Heritage Banking Group,114 S. PEARL ST.,CARTHAGE,MS,39051,14273,15-Apr-11,Trustmark National Bank,32.736591,-89.534218,4,2011,201104,224,196.2
New Horizons Bank,489 HIGHLAND CROSSING,EAST ELLIJAY,GA,30540,57705,15-Apr-11,Citizens South Bank,34.6622099,-84.4877239,4,2011,201104,110.7,106.1
Rosemount National Bank,15055 CHIPPENDALE AVE.,ROSEMOUNT,MN,55068,24099,15-Apr-11,Central Bank,44.7307358,-93.1375656,4,2011,201104,37.6,36.6
The Park Avenue Bank,3102 NORTH OAK STREET EXTENSION,VALDOSTA,GA,31602,19797,29-Apr-11,Bank of the Ozarks,30.8767097,-83.2919555,4,2011,201104,953.3,827.7
Community Central Bank,100 NORTH MAIN STREET,MOUNT CLEMENS,MI,48043,34234,29-Apr-11,Talmer Bank & Trust,42.5996628,-82.8758469,4,2011,201104,476.3,385.4
First National Bank of Central Florida,369 NORTH NEW YORK AVENUE,WINTER PARK,FL,32789,26297,29-Apr-11,"Florida Community Bank, a division of Premier American Bank, N.A.",28.600201,-81.353058,4,2011,201104,352,312.1
First Choice Community Bank,68 FIRST NATIONAL DRIVE,DALLAS,GA,30157,58539,29-Apr-11,Bank of the Ozarks,33.9172287,-84.7678604,4,2011,201104,308.5,310
Cortez Community Bank,1000 SOUTH BROAD STREET,BROOKSVILLE,FL,34601,57625,29-Apr-11,"Florida Community Bank, a division of Premier American Bank, N.A.",28.544836,-82.401886,4,2011,201104,70.9,61.4
Coastal Bank,1701 North Atlantic Avenue,Cocoa Beach,FL,32931,34898,6-May-11,"Florida Community Bank, a division of Premier American Bank, N.A.",28.340874,-80.610512,5,2011,201105,129.4,123.9
Atlantic Southern Bank,4077 FORSYTH ROAD,MACON,GA,31210,57213,20-May-11,"CertusBank, National Association",32.865452,-83.692078,5,2011,201105,741.9,707.6
First Georgia Banking Company,101 MAIN STREET,FRANKLIN,GA,30217,57647,20-May-11,"CertusBank, National Association",33.2802051,-85.0981557,5,2011,201105,731,702.2
Summit Bank,723 HAGGEN DRIVE,BURLINGTON,WA,98233,513,20-May-11,Columbia State Bank,48.470371,-122.33709,5,2011,201105,142.7,131.6
First Heritage Bank,167 LINCOLN AVENUE,SNOHOMISH,WA,98290,23626,27-May-11,Columbia State Bank,47.9117075,-122.0873972,5,2011,201105,173.5,163.3
Atlantic Bank and Trust,152 East Bay Street,Charleston,SC,29401,58420,3-Jun-11,"First Citizens Bank and Trust Company, Inc.",32.777992,-79.926712,6,2011,201106,208.2,191.6
McIntosh State Bank,210 S OAK ST,JACKSON,GA,30233,19237,17-Jun-11,Hamilton State Bank,33.2934699,-83.9673787,6,2011,201106,339.9,324.4
First Commercial Bank of Tampa Bay,4600 WEST KENNEDY BLVD,TAMPA,FL,33609,27583,17-Jun-11,Stonegate Bank,27.944473,-82.522469,6,2011,201106,98.6,92.6
Mountain Heritage Bank,550 HIGHWAY 441 SOUTH,CLAYTON,GA,30525,57593,24-Jun-11,First American Bank and Trust Company,34.8702172,-83.400703,6,2011,201106,103.7,89.6
First Chicago Bank & Trust,1040 WEST RANDOLPH STREET,CHICAGO,IL,60607,27935,8-Jul-11,Northbrook Bank & Trust Company,41.884842,-87.653656,7,2011,201107,959.3,887.5
Colorado Capital Bank,7505 VILLAGE SQUARE DRIVE SUITE 101,CASTLE ROCK,CO,80108,34522,8-Jul-11,First-Citizens Bank & Trust Company,39.471508,-104.8786011,7,2011,201107,717.5,672.8
Signature Bank,355 EASTMAN PARK DRIVE,WINDSOR,CO,80550,57835,8-Jul-11,Points West Community Bank,40.464546,-104.889992,7,2011,201107,66.7,64.5
First Peoples Bank,1301 SOUTHEAST PORT SAINT LUCIE BLVD.,PORT SAINT LUCIE,FL,34952,34870,15-Jul-11,"Premier American Bank, N.A.",27.271603,-80.311394,7,2011,201107,228.3,209.7
High Trust Bank,280 COUNTRY CLUB DRIVE,STOCKBRIDGE,GA,30281,19554,15-Jul-11,Ameris Bank,33.508438,-84.221947,7,2011,201107,192.5,189.5
One Georgia Bank,1180 PEACHTREE STREET SUITE 2610,ATLANTA,GA,30309,58238,15-Jul-11,Ameris Bank,33.7868033,-84.3832572,7,2011,201107,186.3,162.1
Summit Bank,201 NORTH MONTEZUMA STREET,PRESCOTT,AZ,86301,57442,15-Jul-11,The Foothills Bank,34.5439868,-112.4700444,7,2011,201107,72,66.4
Bank of Choice,3780 WEST 10TH STREET,GREELEY,CO,80634,2994,22-Jul-11,"Bank Midwest, N.A.",40.421638,-104.741867,7,2011,201107,1070,924.9
LandMark Bank of Florida,544 SOUTH WASHINGTON BOULEVARD,SARASOTA,FL,34236,35244,22-Jul-11,American Momentum Bank,27.331726,-82.531456,7,2011,201107,275,246.7
Southshore Community Bank,5998 U.S. HIGHWAY 41 NORTH SUITE A,APOLLO BEACH,FL,33572,58056,22-Jul-11,American Momentum Bank,27.763277,-82.396973,7,2011,201107,46.3,45.3
Integra Bank National Association,21 SOUTHEAST THIRD STREET,EVANSVILLE,IN,47708,4392,29-Jul-11,Old National Bank,37.970123,-87.57222,7,2011,201107,2200,1900
